,Arctic,Atlantic,Pacific,Indian,Global
1980-07-01,-0,2,0,-1,1
1981-07-01,-0,3,1,-1,3
1982-07-01,-0,4,-0,-1,2
1983-07-01,0,2,3,-0,5
1984-07-01,0,6,2,1,9
1985-07-01,-0,6,1,-0,6
1986-07-01,0,8,0,-0,8
1987-07-01,-0,4,0,-1,2
1988-07-01,0,6,0,1,7
1989-07-01,0,7,0,0,8
1990-07-01,0,4,1,1,6
1991-07-01,-0,4,0,1,5
1992-07-01,-0,1,-0,-2,-2
1993-07-01,0,5,1,0,6
1994-07-01,-0,7,1,0,8
1995-07-01,0,3,3,0,6
1996-07-01,0,5,1,1,7
1997-07-01,0,1,-1,-0,1
1998-07-01,0,3,3,1,7
1999-07-01,-0,4,1,-0,5
2000-07-01,-0,2,1,0,3
2001-07-01,-0,-2,-0,-0,-3
2002-07-01,0,-1,-1,-1,-3
2003-07-01,-0,-3,-1,-0,-5
2004-07-01,-0,-3,-3,-0,-7
2005-07-01,-0,-5,-1,-2,-8
2006-07-01,-0,-3,-2,-1,-6
2007-07-01,1,-3,-1,1,-2
2008-07-01,1,1,-1,1,1
2009-07-01,-0,0,-2,-1,-3
2010-07-01,-1,-1,1,1,0
2011-07-01,-0,-0,-1,1,-0
2012-07-01,-0,-3,0,0,-3
2013-07-01,-1,-1,1,0,-0
2014-07-01,0,-1,-1,-1,-2
2015-07-01,0,-3,-1,-0,-4
2016-07-01,-0,-4,2,0,-2
2017-07-01,0,-0,2,1,3
2018-07-01,0,-0,-0,0,0
2019-07-01,-0,-0,-1,0,-1
2020-07-01,0,-4,2,1,-0
2021-07-01,-0,-3,1,-0,-3
2022-07-01,0,-4,1,-0,-3
2023-07-01,-0,-10,-2,-0,-12
2024-07-01,-0,-12,2,2,-9
