date,anomaly,ONI,PDO
1979-01-01,-0.291,0.000,-0.380
1979-02-01,-0.216,0.100,-1.290
1979-03-01,-0.122,0.200,-0.680
1979-04-01,0.038,0.300,-0.120
1979-05-01,0.339,0.200,0.570
1979-06-01,0.499,0.000,0.220
1979-07-01,0.390,0.000,0.300
1979-08-01,0.157,0.200,0.050
1979-09-01,0.046,0.300,0.880
1979-10-01,-0.158,0.500,1.100
1979-11-01,-0.234,0.500,0.580
1979-12-01,-0.297,0.600,0.060
1980-01-01,-0.301,0.600,0.060
1980-02-01,-0.284,0.500,0.580
1980-03-01,-0.209,0.300,0.620
1980-04-01,0.034,0.400,0.780
1980-05-01,0.186,0.500,0.640
1980-06-01,0.528,0.500,-0.720
1980-07-01,0.405,0.300,-0.210
1980-08-01,0.227,0.000,0.080
1980-09-01,0.043,-0.100,-0.130
1980-10-01,-0.124,0.000,0.990
1980-11-01,-0.245,0.100,0.710
1980-12-01,-0.289,0.000,0.300
1981-01-01,-0.295,-0.300,1.180
1981-02-01,-0.213,-0.500,1.240
1981-03-01,-0.182,-0.500,1.220
1981-04-01,0.003,-0.400,1.070
1981-05-01,0.300,-0.300,1.290
1981-06-01,0.586,-0.300,1.820
1981-07-01,0.446,-0.300,0.820
1981-08-01,0.156,-0.200,-0.050
1981-09-01,0.047,-0.200,0.430
1981-10-01,-0.087,-0.100,-0.090
1981-11-01,-0.221,-0.200,0.540
1981-12-01,-0.280,-0.100,0.590
1982-01-01,-0.262,0.000,0.110
1982-02-01,-0.228,0.100,-0.190
1982-03-01,-0.146,0.200,-0.370
1982-04-01,0.055,0.500,-0.700
1982-05-01,0.248,0.700,-1.210
1982-06-01,0.574,0.700,-0.990
1982-07-01,0.343,0.800,0.120
1982-08-01,0.135,1.100,-0.080
1982-09-01,0.002,1.600,0.510
1982-10-01,-0.189,2.000,0.150
1982-11-01,-0.252,2.200,-0.600
1982-12-01,-0.269,2.200,0.160
1983-01-01,-0.270,2.200,0.400
1983-02-01,-0.254,1.900,0.970
1983-03-01,-0.159,1.500,1.730
1983-04-01,0.064,1.300,1.260
1983-05-01,0.287,1.100,1.010
1983-06-01,0.539,0.700,1.900
1983-07-01,0.377,0.300,2.470
1983-08-01,0.160,-0.100,1.180
1983-09-01,0.090,-0.500,0.470
1983-10-01,-0.055,-0.800,0.680
1983-11-01,-0.223,-1.000,1.190
1983-12-01,-0.258,-0.900,1.720
1984-01-01,-0.259,-0.600,1.420
1984-02-01,-0.175,-0.400,1.230
1984-03-01,-0.162,-0.300,1.560
1984-04-01,0.091,-0.400,1.000
1984-05-01,0.361,-0.500,0.870
1984-06-01,0.612,-0.400,-0.130
1984-07-01,0.444,-0.300,-0.350
1984-08-01,0.213,-0.200,0.010
1984-09-01,0.082,-0.200,0.180
1984-10-01,-0.088,-0.600,0.430
1984-11-01,-0.221,-0.900,0.540
1984-12-01,-0.272,-1.100,0.480
1985-01-01,-0.298,-1.000,0.870
1985-02-01,-0.208,-0.800,0.480
1985-03-01,-0.193,-0.800,-0.340
1985-04-01,0.024,-0.800,-0.520
1985-05-01,0.220,-0.800,-0.870
1985-06-01,0.607,-0.600,0.040
1985-07-01,0.369,-0.500,0.520
1985-08-01,0.234,-0.500,0.190
1985-09-01,0.156,-0.400,0.130
1985-10-01,-0.086,-0.300,0.140
1985-11-01,-0.202,-0.300,-0.650
1985-12-01,-0.272,-0.400,0.330
1986-01-01,-0.219,-0.500,1.040
1986-02-01,-0.209,-0.500,1.470
1986-03-01,-0.112,-0.300,1.680
1986-04-01,0.113,-0.200,1.210
1986-05-01,0.233,-0.100,0.850
1986-06-01,0.510,0.000,0.620
1986-07-01,0.472,0.200,1.050
1986-08-01,0.150,0.400,-0.190
1986-09-01,0.052,0.700,-0.030
1986-10-01,-0.063,0.900,1.000
1986-11-01,-0.184,1.100,1.680
1986-12-01,-0.269,1.200,1.710
1987-01-01,-0.259,1.200,1.470
1987-02-01,-0.235,1.200,1.460
1987-03-01,-0.194,1.100,1.350
1987-04-01,0.004,0.900,1.380
1987-05-01,0.174,1.000,0.820
1987-06-01,0.422,1.200,0.050
1987-07-01,0.443,1.500,1.380
1987-08-01,0.203,1.700,1.740
1987-09-01,0.037,1.600,1.440
1987-10-01,-0.114,1.500,0.680
1987-11-01,-0.245,1.300,0.930
1987-12-01,-0.269,1.100,0.940
1988-01-01,-0.265,0.800,0.230
1988-02-01,-0.221,0.500,0.470
1988-03-01,-0.164,0.100,0.490
1988-04-01,0.029,-0.300,0.340
1988-05-01,0.247,-0.900,0.370
1988-06-01,0.532,-1.300,0.210
1988-07-01,0.457,-1.300,-0.150
1988-08-01,0.293,-1.100,-0.880
1988-09-01,0.184,-1.200,-0.980
1988-10-01,-0.050,-1.500,-0.360
1988-11-01,-0.206,-1.800,-0.060
1988-12-01,-0.281,-1.800,-0.140
1989-01-01,-0.247,-1.700,-1.240
1989-02-01,-0.205,-1.400,-1.450
1989-03-01,-0.135,-1.100,-1.240
1989-04-01,0.027,-0.800,-0.320
1989-05-01,0.314,-0.600,-0.090
1989-06-01,0.594,-0.400,0.110
1989-07-01,0.485,-0.300,0.560
1989-08-01,0.175,-0.300,-0.440
1989-09-01,0.062,-0.200,-0.570
1989-10-01,-0.082,-0.200,-0.510
1989-11-01,-0.234,-0.200,-0.760
1989-12-01,-0.291,-0.100,-0.100
1990-01-01,-0.243,0.100,-0.420
1990-02-01,-0.196,0.200,-1.280
1990-03-01,-0.166,0.300,-1.240
1990-04-01,0.033,0.300,-0.150
1990-05-01,0.324,0.300,-0.320
1990-06-01,0.631,0.300,-0.250
1990-07-01,0.414,0.300,-0.310
1990-08-01,0.177,0.400,-0.430
1990-09-01,0.056,0.400,-0.260
1990-10-01,-0.082,0.300,-1.160
1990-11-01,-0.230,0.400,-1.880
1990-12-01,-0.284,0.400,-2.220
1991-01-01,-0.260,0.400,-1.800
1991-02-01,-0.209,0.300,-1.090
1991-03-01,-0.166,0.200,-1.110
1991-04-01,0.089,0.300,-1.630
1991-05-01,0.305,0.500,-1.650
1991-06-01,0.597,0.600,-2.250
1991-07-01,0.438,0.700,-1.570
1991-08-01,0.177,0.600,-0.580
1991-09-01,-0.010,0.600,0.370
1991-10-01,-0.142,0.800,0.410
1991-11-01,-0.280,1.200,0.560
1991-12-01,-0.315,1.500,-0.210
1992-01-01,-0.325,1.700,0.080
1992-02-01,-0.285,1.600,0.170
1992-03-01,-0.189,1.500,0.120
1992-04-01,-0.046,1.300,0.550
1992-05-01,0.213,1.100,1.260
1992-06-01,0.423,0.700,1.220
1992-07-01,0.403,0.400,1.500
1992-08-01,0.098,0.100,0.850
1992-09-01,-0.002,-0.100,0.450
1992-10-01,-0.159,-0.200,1.280
1992-11-01,-0.259,-0.300,1.310
1992-12-01,-0.265,-0.100,0.330
1993-01-01,-0.265,0.100,-0.280
